time,id_command,id_feedback,iq_command,iq_feedback
0.000379,0,0.000951393,40,13.71228476
0.00038,0,0.000961669,40,13.75162556
0.000381,0,0.000972027,40,13.79095321
0.000382,0,0.000982467,40,13.83026774
0.000383,0,0.00099299,40,13.86956913
0.000384,0,0.001003597,40,13.90885739
0.000385,0,0.001014287,40,13.94813254
0.000386,0,0.001025061,40,13.98739456
0.000387,0,0.001035921,40,14.02664348
0.000388,0,0.001046865,40,14.06587928
0.000389,0,0.001057895,40,14.10510198
0.00039,0,0.001069011,40,14.14431158
0.000391,0,0.001080213,40,14.18350809
0.000392,0,0.001091502,40,14.2226915
0.000393,0,0.001102878,40,14.26186182
0.000394,0,0.001114342,40,14.30101906
0.000395,0,0.001125895,40,14.34016323
0.000396,0,0.001134062,40,14.33538006
0.000397,0,0.001142266,40,14.33059845
0.000398,0,0.001150508,40,14.32581839
0.000399,0,0.001158788,40,14.32103988
0.0004,0,0.001167105,40,14.31626292
0.000401,0,0.001175459,40,14.31148752
0.000402,0,0.001183851,40,14.30671366
0.000403,0,0.001192279,40,14.30194136
0.000404,0,0.001200745,40,14.2971706
0.000405,0,0.001209248,40,14.2924014
0.000406,0,0.001217788,40,14.28763374
0.000407,0,0.001226365,40,14.28286763
0.000408,0,0.001234979,40,14.27810307
0.000409,0,0.001247456,40,14.31725431
0.00041,0,0.001260024,40,14.35639247
0.000411,0,0.001272685,40,14.39551756
0.000412,0,0.001285438,40,14.43462959
0.000413,0,0.001298284,40,14.47372854
0.000414,0,0.001311224,40,14.51281444
0.000415,0,0.001324258,40,14.55188728
0.000416,0,0.001337386,40,14.59094707
0.000417,0,0.001350609,40,14.62999381
0.000418,0,0.001363928,40,14.66902751
0.000419,0,0.001377342,40,14.70804817
0.00042,0,0.001390852,40,14.7470558
0.000421,0,0.001404459,40,14.7860504
0.000422,0,0.001418163,40,14.82503197
0.000423,0,0.001431965,40,14.86400051
0.000424,0,0.001445864,40,14.90295604
0.000425,0,0.001459862,40,14.94189856
0.000426,0,0.00147396,40,14.98082807
0.000427,0,0.001488156,40,15.01974457
0.000428,0,0.001502453,40,15.05864807
0.000429,0,0.001516849,40,15.09753857
0.00043,0,0.001531347,40,15.13641609
0.000431,0,0.001545946,40,15.17528061
0.000432,0,0.001560647,40,15.21413215
0.000433,0,0.001575449,40,15.25297071
0.000434,0,0.001590355,40,15.29179629
0.000435,0,0.001605364,40,15.33060891
0.000436,0,0.001620476,40,15.36940855
0.000437,0,0.001635693,40,15.40819524
0.000438,0,0.001651014,40,15.44696896
0.000439,0,0.00166644,40,15.48572973
0.00044,0,0.001681971,40,15.52447755
0.000441,0,0.001697609,40,15.56321243
0.000442,0,0.001713353,40,15.60193436
0.000443,0,0.001729204,40,15.64064335
0.000444,0,0.001745163,40,15.67933942
0.000445,0,0.001761229,40,15.71802255
0.000446,0,0.001777404,40,15.75669275
0.000447,0,0.001793688,40,15.79535004
0.000448,0,0.001810081,40,15.83399441
0.000449,0,0.001826584,40,15.87262587
0.00045,0,0.001843197,40,15.91124442
0.000451,0,0.001859921,40,15.94985006
0.000452,0,0.001876757,40,15.98844281
0.000453,0,0.001893704,40,16.02702265
0.000454,0,0.001910763,40,16.06558961
0.000455,0,0.001927936,40,16.10414368
0.000456,0,0.001945221,40,16.14268487
0.000457,0,0.00196262,40,16.18121318
0.000458,0,0.001980134,40,16.21972861
0.000459,0,0.001997762,40,16.25823117
0.00046,0,0.002015506,40,16.29672087
0.000461,0,0.002033365,40,16.3351977
0.000462,0,0.002051341,40,16.37366168
0.000463,0,0.002069433,40,16.4121128
0.000464,0,0.002087642,40,16.45055107
0.000465,0,0.002105969,40,16.4889765
0.000466,0,0.002124415,40,16.52738909
0.000467,0,0.002142979,40,16.56578884
0.000468,0,0.002161662,40,16.60417575
0.000469,0,0.002180465,40,16.64254984
0.00047,0,0.002199389,40,16.6809111
0.000471,0,0.002218433,40,16.71925954
0.000472,0,0.002237598,40,16.75759517
0.000473,0,0.002256885,40,16.79591798
0.000474,0,0.002276294,40,16.83422798
0.000475,0,0.002295826,40,16.87252518
0.000476,0,0.002315482,40,16.91080959
0.000477,0,0.002335261,40,16.94908119
0.000478,0,0.002355165,40,16.98734001
0.000479,0,0.002375193,40,17.02558603
0.00048,0,0.002395346,40,17.06381928
0.000481,0,0.002415626,40,17.10203974
0.000482,0,0.002436032,40,17.14024743
0.000483,0,0.002456564,40,17.17844235
0.000484,0,0.002477225,40,17.2166245
0.000485,0,0.002498013,40,17.25479389
0.000486,0,0.002518929,40,17.29295053
0.000487,0,0.002539974,40,17.3310944
0.000488,0,0.002561149,40,17.36922553
0.000489,0,0.002582454,40,17.40734391
0.00049,0,0.002603889,40,17.44544956
0.000491,0,0.002625456,40,17.48354246
0.000492,0,0.002647154,40,17.52162263
0.000493,0,0.002668984,40,17.55969007
0.000494,0,0.002690947,40,17.59774479
0.000495,0,0.002713042,40,17.63578678
0.000496,0,0.002728476,40,17.6299018
0.000497,0,0.002743964,40,17.62401874
0.000498,0,0.002759506,40,17.61813758
0.000499,0,0.002775104,40,17.61225834
0.0005,0,0.002790755,40,17.606381
0.000501,0,0.002806461,40,17.60050558
0.000502,0,0.00282222,40,17.59463206
0.000503,0,0.002838034,40,17.58876044
0.000504,0,0.002853902,40,17.58289074
0.000505,0,0.002869824,40,17.57702294
0.000506,0,0.0028858,40,17.57115705
0.000507,0,0.00290183,40,17.56529306
0.000508,0,0.002917913,40,17.55943097
0.000509,0,0.00294139,40,17.59748504
0.00051,0,0.002965003,40,17.6355264
0.000511,0,0.002988755,40,17.67355503
0.000512,0,0.003012645,40,17.71157095
0.000513,0,0.003036673,40,17.74957417
0.000514,0,0.003060841,40,17.78756468
0.000515,0,0.003085149,40,17.82554249
0.000516,0,0.003109597,40,17.8635076
0.000517,0,0.003134186,40,17.90146002
0.000518,0,0.003158916,40,17.93939976
0.000519,0,0.003183788,40,17.97732681
0.00052,0,0.003208803,40,18.01524118
0.000521,0,0.00323396,40,18.05314287
0.000522,0,0.003259262,40,18.0910319
0.000523,0,0.003284707,40,18.12890825
0.000524,0,0.003310297,40,18.16677195
0.000525,0,0.003336032,40,18.20462298
0.000526,0,0.003361913,40,18.24246136
0.000527,0,0.00338794,40,18.28028709
0.000528,0,0.003414113,40,18.31810018
